number,name,net buying,buy,sell,list day
000600,建投能源,18300.0,18400.0,50.01,1
601009,南京银行,19152.86,19639.51,440.48,2
000001,平安银行,20146.16,41870.32,21724.16,14
000089,深圳机场,20276.19,33651.71,13375.51,9
300136,信维通信,21135.11,31215.41,10080.3,7
002271,东方雨虹,21665.9,26055.79,4389.89,7
002739,万达院线,24168.95,26828.89,2659.96,6
002027,分众传媒,26472.34,89466.79,63025.89,23
300124,汇川技术,29306.68,50535.85,21229.19,12
000528,柳工,29549.95,36634.53,7084.56,8
601939,建设银行,34098.05,67517.45,33391.75,10
000568,泸州老窖,39671.17,76443.7,36830.97,16
002450,康得新,41239.24,48707.91,7468.68,8
002008,大族激光,42344.92,97162.66,54711.33,25
000581,威孚高科,42663.26,50207.54,7560.13,11
002572,索菲亚,53588.73,67970.16,14381.46,16
600019,宝钢股份,54189.82,155649.12,101465.66,19
601888,中国国旅,58030.35,106113.11,48264.03,14
002508,老板电器,59316.18,106206.09,46889.89,27
600741,华域汽车,62260.19,83408.62,21274.14,10
601288,农业银行,64762.98,126289.93,61522.48,18
600030,中信证券,66067.96,128350.34,62248.93,16
002241,歌尔股份,68725.92,90330.33,21713.63,18
600036,招商银行,75077.21,433887.3,358854.21,69
601006,大秦铁路,92285.91,179804.68,87619.94,21
600031,三一重工,102621.53,225093.24,122496.71,25
600104,上汽集团,106670.61,425533.93,318902.63,58
000423,东阿阿胶,117494.8,141658.79,24101.19,29
300433,蓝思科技,120951.39,129621.25,8674.66,14
002304,洋河股份,173310.47,290990.43,117755.22,57
600887,伊利股份,191367.91,364776.34,173365.79,36
600276,恒瑞医药,236742.17,441349.57,204421.3,52
000538,云南白药,244685.25,294004.26,49411.08,38
000858,五粮液,322350.01,681102.2,358498.2,103
601318,中国平安,348360.98,1627042.53,1278705.39,101
000651,格力电器,487152.97,951174.43,464094.52,98
601901,方正证券,665478.32,672508.23,6788.11,43
000333,美的集团,1038861.13,1469991.58,430975.61,102
002415,海康威视,1126045.08,1778958.13,652546.26,103
